Commodity,Number of trades,Traded items,Value of trades,Lst,as per ESI; complete New Eden; last update: 24.11.2023,,,,,https://www.adam4eve.eu/tradeVol_type.php
Shadow Serpentis Kinetic Armor Hardener,37,53,56.075.311,,,,,,,
Bestower Blueprint,8,11,56.036.039,,,,,,,
Heavy Shield Maintenance Bot I,23,223,56.026.776,,,,,,,
Scorpion Navy Issue Glacial Drift SKIN,2,2,56.012.857,,,,,,,
Capital Remote Hull Repairer I Blueprint,2,2,56.000.000,,,,,,,
Men's 'Marshal' Jacket (Minmatar),1,1,56.000.000,,,,,,,
Cenobite II,3,8,55.980.000,,,,,,,
Worm Glacial Drift SKIN,3,4,55.972.768,,,,,,,
Purifier Cold Iron SKIN,15,17,55.967.808,,,,,,,
75mm Prototype Gauss Gun,96,192,55.953.169,,,,,,,
Women's 'Executor' Coat (black),5,5,55.898.183,,,,,,,
Inherent Implants 'Squire' Energy Grid Upgrades EU-702,6,7,55.894.607,,,,,,,
Heavy Modulated Pulse Energy Beam I,89,286,55.889.601,,,,,,,
Men's 'Sterling' Dress Shirt (white),1,1,55.825.000,,,,,,,
Caldari Navy Small Graviton Smartbomb,6,10,55.788.239,,,,,,,
Women's 'Excursion' Pants (matte green),2,2,55.782.500,,,,,,,
Vigilant Versus Redforce SKIN,7,9,55.745.030,,,,,,,
Compressed Imperial Ducinium,7,13.494,55.734.433,,,,,,,
Men's 'Dread' Beret (Guristas),4,7,55.691.330,,,,,,,
Minmatar Cruiser,54,66,55.661.831,,,,,,,
Maulus Navy Issue Luminaire Rising SKIN,7,9,55.628.145,,,,,,,
Shield Kinetic Resistance Script Blueprint,8,11,55.554.148,,,,,,,
Hurricane Fleet Issue Exoplanets Hunter SKIN,3,4,55.551.954,,,,,,,
Chimera Spirit SKIN,3,3,55.499.306,,,,,,,
Complex Organisms,13,11.890.626,55.487.846,,,,,,,
Zainou 'Deadeye' Small Hybrid Turret SH-603,31,47,55.436.636,,,,,,,
Men's 'Lockstep' Boots,1,1,55.400.000,,,,,,,
Nereus Exoplanets Hunter SKIN,4,6,55.330.465,,,,,,,
Low-grade Grail Alpha,5,6,55.324.338,,,,,,,
Small 'Trapper' Shield Extender,5,5,55.298.125,,,,,,,
Women's Rubedo Richesse Pants,1,1,55.262.500,,,,,,,
Tempest Aurora Universalis SKIN,7,12,55.240.448,,,,,,,
Low-grade Talon Omega,4,10,55.212.278,,,,,,,
Spike S,300,2.415.577,55.165.001,,,,,,,
Badger Exoplanets Hunter SKIN,4,9,55.159.328,,,,,,,
Centii A-Type Small Remote Capacitor Transmitter,23,47,55.128.183,,,,,,,
Cormorant Ghostbird SKIN,1,1,55.100.000,,,,,,,
Remote Tracking Computer II,26,82,55.088.384,,,,,,,
TE-2100 Ample Light Missile Launcher,379,5.665,55.009.142,,,,,,,
220mm Medium Prototype Automatic Cannon,41,111,54.961.815,,,,,,,
Bustard Glacial Drift SKIN,3,3,54.953.702,,,,,,,
800mm Heavy Prototype Automatic Cannon,59,158,54.908.447,,,,,,,
Capital Bay Loading Accelerator I,1,1,54.892.647,,,,,,,
Anathema Cold Iron SKIN,16,18,54.832.553,,,,,,,
Armageddon Kador SKIN,4,4,54.819.519,,,,,,,
Limited Mega Ion Blaster I,69,157,54.793.739,,,,,,,
Large Gravity Capacitor Upgrade II,3,7,54.782.755,,,,,,,
Vagabond Exoplanets Hunter SKIN,3,4,54.588.748,,,,,,,
Small Autocannon Specialization,33,43,54.582.271,,,,,,,
Heavy Mutadaptive Scoped Remote Armor Repairer,5,7,54.577.287,,,,,,,
Obsidian Ochre,21,18.689,54.528.703,,,,,,,
200mm Light Prototype Automatic Cannon,157,499,54.528.341,,,,,,,
Dread Guristas Scourge Torpedo,7,3.576,54.512.078,,,,,,,
Small Focused Anode Pulse Particle Stream I,114,357,54.473.678,,,,,,,
Tristan Spirit SKIN,4,4,54.465.417,,,,,,,
Condor Blueprint,21,21,54.444.191,,,,,,,
Widow Exoplanets Hunter SKIN,2,2,54.423.581,,,,,,,
Modal Mega Ion Particle Accelerator I,63,160,54.367.596,,,,,,,
Guristas Tungsten Charge XL,2,2.723,54.352.500,,,,,,,
Punisher Purity of the Throne SKIN,1,1,54.336.797,,,,,,,
Merlin Guristas SKIN,2,4,54.330.000,,,,,,,
Apocalypse Navy Issue Cold Iron SKIN,11,11,54.288.698,,,,,,,
Large Warp Core Optimizer I,3,4,54.277.258,,,,,,,
Planetology,61,88,54.232.350,,,,,,,
Capital Remote Shield Booster I Blueprint,2,2,54.174.171,,,,,,,
Heron Zento Isideko Combine SKIN,4,4,54.160.202,,,,,,,
Harbinger Navy Issue Spirit SKIN,1,1,54.136.000,,,,,,,
Basic' Capacitor Flux Coil,5,8,54.133.547,,,,,,,
Omen Kador SKIN,5,5,54.089.333,,,,,,,
Compressed Abyssal Talassonite,3,14.879,54.076.525,,,,,,,
Small Pulse Laser Specialization,29,69,54.059.620,,,,,,,
Gnosis Capsuleer Elite XV SKIN,6,11,54.021.484,,,,,,,
Ammatar Navy Heavy Pulse Laser,2,2,54.000.000,,,,,,,
Medium Emission Scope Sharpener II,11,12,53.959.377,,,,,,,
Enyo Exoplanets Hunter SKIN,4,13,53.945.346,,,,,,,
Aeon Exoplanets Hunter SKIN,1,1,53.941.837,,,,,,,
Sunesis Versus Blueforce SKIN,3,3,53.939.925,,,,,,,
Compressed Replete Zircon,3,5.8,53.922.070,,,,,,,
Crucifier Navy Issue Spirit SKIN,2,2,53.897.000,,,,,,,
Republic Fleet Firetail Exoplanets Hunter SKIN,5,9,53.804.235,,,,,,,
Uranium Charge M,252,527.61,53.766.785,,,,,,,
Guristas Nova Torpedo,26,140.428,53.762.514,,,,,,,
Endurance Guristas Industrial Livery SKIN,1,1,53.709.630,,,,,,,
Zealot Cold Iron SKIN,10,11,53.697.600,,,,,,,
250mm Railgun I,41,166,53.645.933,,,,,,,
350mm 'Scout' Accelerator Cannon,42,96,53.592.185,,,,,,,
Cap Booster 200 Blueprint,19,41,53.561.148,,,,,,,
Small Arms,28,31.887,53.552.482,,,,,,,
Gallente Strategic Cruiser,21,28,53.532.924,,,,,,,
Bantam,189,391,53.489.750,,,,,,,
Incursus Blueprint,16,17,53.464.213,,,,,,,
Harvest Anti-Disruptor Booster II,109,286,53.442.581,,,,,,,
Hoarder Blueprint,6,10,53.394.587,,,,,,,
Micro' Cap Battery,6,7,53.383.384,,,,,,,
Capital Command Processor I,1,1,53.378.000,,,,,,,
Apocalypse Ardishapur SKIN,3,3,53.336.111,,,,,,,
Blood Standard L,17,61,53.323.327,,,,,,,
Silver Monocle Interface Crate,7,9,53.303.509,,,,,,,
Exequror Hunter's Quiver SKIN,4,4,53.285.053,,,,,,,
Talwar Semiotique Sports SKIN,2,2,53.276.000,,,,,,,
Partial Neurosynaptic Profile,4,19,53.245.090,,,,,,,
Pithum B-Type Explosive Shield Amplifier,8,12,53.232.879,,,,,,,
Damage Control I,994,4.634,53.222.824,,,,,,,
Rhea Exoplanets Hunter SKIN,1,1,53.179.691,,,,,,,
Men's 'Semiotique Superluminal' Pants,2,2,53.065.101,,,,,,,
Sanshas Gamma XL,3,18,53.057.474,,,,,,,
Men's Grand Prix Racing Jacket,1,1,53.026.667,,,,,,,
Compressed Pellucid Crokite,28,27.776,53.018.997,,,,,,,
Maller Purity of the Throne SKIN,1,1,52.978.334,,,,,,,
Providence Biosecurity Responders SKIN,6,6,52.964.416,,,,,,,
Archon Glacial Drift SKIN,2,4,52.950.198,,,,,,,
Men's Ace of Podhunters Boots,1,1,52.934.694,,,,,,,
Men's 'Street' Shirt (blue),1,2,52.920.371,,,,,,,
Kaikka's Modified Thermal Shield Amplifier,1,1,52.860.000,,,,,,,
Small Hybrid Ambit Extension II,4,6,52.812.982,,,,,,,
Medium 'Hope' Hull Reconstructor I,86,227,52.787.397,,,,,,,
Capital Flex Shield Hardener I,2,4,52.784.000,,,,,,,
Astero SOE Gold Cell,4,5,52.779.827,,,,,,,
Mid-grade Talisman Alpha,14,15,52.772.770,,,,,,,
Compact EM Shield Amplifier,452,1.122,52.693.082,,,,,,,
Hecate Glacial Drift SKIN,3,4,52.684.756,,,,,,,
Zainou 'Gnome' Weapon Upgrades WU-1002,5,7,52.660.947,,,,,,,
Guardian Antimatter Charge M,7,7.581,52.635.240,,,,,,,
Desert Heat' Thermal Shield Hardener,5,9,52.611.511,,,,,,,
Drake Argyros Elite XVI SKIN,5,6,52.611.431,,,,,,,
Miasmos Spirit SKIN,3,3,52.572.048,,,,,,,
Modular Systems Hologram,3,19,52.548.815,,,,,,,
Eagle Glacial Drift SKIN,5,6,52.496.959,,,,,,,
Large Inductive Compact Remote Capacitor Transmitter,163,813,52.495.737,,,,,,,
Abaddon Kador SKIN,3,4,52.457.687,,,,,,,
Type-D Restrained Expanded Cargo,286,1.138,52.389.248,,,,,,,
Zainou 'Gypsy' Propulsion Jamming PJ-805,5,7,52.373.158,,,,,,,
Xray L,157,1.855,52.356.171,,,,,,,
Box of Chocolates,4,9,52.337.796,,,,,,,
Compressed Pristine Jaspet,15,84.574,52.301.486,,,,,,,
Sabre Aurora Universalis SKIN,3,3,52.288.604,,,,,,,
Setele's Modified 350mm Railgun,1,1,52.280.000,,,,,,,
Small Bay Loading Accelerator I,250,523,52.255.138,,,,,,,
Small Energy Neutralizer I,57,175,52.191.438,,,,,,,
Gistii C-Type Small Remote Shield Booster,2,2,52.146.250,,,,,,,
Explosive Shield Amplifier II,64,105,51.948.632,,,,,,,
Women's Polar Aurora Exploration Suit,8,10,51.874.389,,,,,,,
Tuvan's Modified Explosive Armor Hardener,1,1,51.860.000,,,,,,,
Gistum C-Type Thermal Shield Amplifier,19,25,51.857.433,,,,,,,
Medium Infectious Scoped Energy Neutralizer,252,812,51.854.487,,,,,,,
Armor EM Resistance Script Blueprint,7,11,51.811.736,,,,,,,
Carbonized Lead XL Blueprint,3,12,51.761.666,,,,,,,
Syndicate Cloaking Device,1,1,51.730.000,,,,,,,
Enormous Freight Container Blueprint,9,15,51.714.274,,,,,,,
Tranquil Gamma Filament,589,5.13,51.696.010,,,,,,,
Snake Eyes' Explosive Shield Hardener,4,7,51.695.173,,,,,,,
Federation Navy Lead Charge L,13,48.79,51.647.621,,,,,,,
Heavy Neutron Blaster I,32,170,51.643.185,,,,,,,
Bellicose Semiotique Sports SKIN,1,1,51.575.000,,,,,,,
Women's 'Protector' Beret (Caldari State),1,1,51.529.333,,,,,,,
Blood Gold Tag,21,278,51.521.572,,,,,,,
Improved Drop Booster Reaction Formula,3,6,51.517.482,,,,,,,
Augoror Purity of the Throne SKIN,1,1,51.472.143,,,,,,,
Oracle Argyros Elite XVI SKIN,5,8,51.350.310,,,,,,,
EM Energized Membrane II,38,91,51.200.376,,,,,,,
Federation Navy Dual 250mm Railgun,3,4,51.163.933,,,,,,,
Impel Glacial Drift SKIN,3,3,51.077.633,,,,,,,
Omen Navy Issue Cold Iron SKIN,15,17,51.025.091,,,,,,,
Confessor Biosecurity Responders SKIN,12,16,50.957.776,,,,,,,
Slasher Blueprint,19,24,50.927.451,,,,,,,
Crane Versus Blueforce SKIN,3,3,50.922.652,,,,,,,
Ark Glacial Drift SKIN,2,2,50.906.111,,,,,,,
425mm Medium 'Jolt' Autocannon I,4,8,50.888.309,,,,,,,
Donut Holder,5,5,50.813.339,,,,,,,
Prospect Glacial Drift SKIN,3,4,50.792.662,,,,,,,
Shadow Iron Charge XL,3,15.08,50.790.289,,,,,,,
50MN Quad LiF Restrained Microwarpdrive,1.271,3.593,50.766.351,,,,,,,
Harbinger Spirit SKIN,2,3,50.729.321,,,,,,,
Rare Moon Mining Crystal Type B I,6,65,50.707.379,,,,,,,
Praetor EV-900 Blueprint,3,3,50.666.667,,,,,,,
Domination 150mm Autocannon,7,9,50.645.824,,,,,,,
Vexor Spirit SKIN,3,3,50.615.860,,,,,,,
Punisher Harmonious Ascension SKIN,2,2,50.613.500,,,,,,,
Armor Kinetic Resistance Script Blueprint,7,10,50.574.750,,,,,,,
Sunesis Violet Vellication SKIN,6,7,50.557.770,,,,,,,
Heavy Beam Laser I,30,196,50.486.195,,,,,,,
Sigil Kador SKIN,4,5,50.477.431,,,,,,,
Exequror Navy Issue Glacial Drift SKIN,4,4,50.444.535,,,,,,,
Providence Glacial Drift SKIN,1,1,50.434.614,,,,,,,
Astrometric Pinpointing,47,55,50.392.908,,,,,,,
R.Db - Duvolle Labs Blueprint,6,69,50.333.812,,,,,,,
Armor Thermal Resistance Script Blueprint,7,10,50.315.151,,,,,,,
Arch Angel Depleted Uranium XL,8,19.717,50.303.719,,,,,,,
Defensive Control Node,85,8.111,50.260.252,,,,,,,
Low-grade Centurion Alpha,3,3,50.161.915,,,,,,,
1200mm Artillery Cannon I,12,27,50.137.062,,,,,,,
Badger Blueprint,8,19,50.129.858,,,,,,,
50MN Cold-Gas Enduring Microwarpdrive,958,2.654,50.028.433,,,,,,,
Low-grade Nomad Delta,1,1,50.005.005,,,,,,,
Phase Inversion Battery Blueprint,1,1,50.000.000,,,,,,,
Capital Hybrid Ambit Extension I Blueprint,1,1,50.000.000,,,,,,,
Capital Liquid Cooled Electronics I Blueprint,1,1,50.000.000,,,,,,,
Standup XL Cruise Missile Blueprint,4,5,50.000.000,,,,,,,
Tempest Republic Fleet SKIN,1,1,50.000.000,,,,,,,
Capital Gremlin Compact Energy Neutralizer Blueprint,1,1,50.000.000,,,,,,,
Capital Emission Scope Sharpener I Blueprint,1,1,50.000.000,,,,,,,
Ion Field Projection Battery Blueprint,1,1,50.000.000,,,,,,,
Ahremen's Modified EM Coating,1,1,50.000.000,,,,,,,
Capital Memetic Algorithm Bank I Blueprint,1,1,50.000.000,,,,,,,
Reaper Vherokior SKIN,1,1,50.000.000,,,,,,,
Capital Algid Hybrid Administrations Unit I Blueprint,1,1,50.000.000,,,,,,,
Capital Particle Dispersion Augmentor I Blueprint,1,1,50.000.000,,,,,,,
Medium Pulse Laser Battery Blueprint,1,1,50.000.000,,,,,,,
White Noise Generation Battery Blueprint,1,1,50.000.000,,,,,,,
Capital Core Defense Charge Economizer I Blueprint,1,1,50.000.000,,,,,,,
Medium Railgun Battery Blueprint,1,1,50.000.000,,,,,,,
Small Pulse Laser Battery Blueprint,2,2,50.000.000,,,,,,,
Spatial Destabilization Battery Blueprint,1,1,50.000.000,,,,,,,
Capital Stasis Drone Augmentor I,1,1,50.000.000,,,,,,,
Medium Blaster Battery Blueprint,1,1,50.000.000,,,,,,,
Absolution Exoplanets Hunter SKIN,5,6,49.902.050,,,,,,,
Inherent Implants 'Noble' Hull Upgrades HG-1002,6,8,49.838.672,,,,,,,
Batch Compressed Dark Ochre,4,192,49.838.181,,,,,,,
Anode Mega Electron Particle Cannon I,67,163,49.835.079,,,,,,,
Women's 'RubySet TorsoRig' Body Augmentation,11,16,49.832.084,,,,,,,
Rorqual Minmatar Industrial Livery SKIN,1,1,49.785.833,,,,,,,
Nova Precision XL Cruise Missile,2,2.247,49.780.000,,,,,,,
Small Remote Capacitor Transmitter II,18,72,49.764.072,,,,,,,
Republic Fleet Explosive Armor Hardener,4,5,49.760.291,,,,,,,
1200mm Heavy Carbine Howitzer I,56,131,49.716.874,,,,,,,
Ammatar Navy Small Focused Beam Laser,2,3,49.711.050,,,,,,,
Titanium Sabot M,130,576.758,49.619.043,,,,,,,
Medium Particle Dispersion Augmentor II,11,14,49.614.939,,,,,,,
Common Moon Mining Crystal Type B I,5,44,49.555.658,,,,,,,
Thermal Energized Membrane II,51,97,49.518.399,,,,,,,
Crusader Aurora Universalis SKIN,3,3,49.515.880,,,,,,,
Medium Artillery Battery Blueprint,1,1,49.500.000,,,,,,,
Thrasher Aurora Universalis SKIN,9,12,49.474.322,,,,,,,
Harvest Anti-Disruptor Booster IV,42,58,49.416.495,,,,,,,
Medium Core Defense Charge Economizer II,5,11,49.355.845,,,,,,,
Corelum C-Type Thermal Energized Membrane,22,29,49.341.589,,,,,,,
Nemesis Aurora Universalis SKIN,3,3,49.335.734,,,,,,,
Small Energy Nosferatu I,58,132,49.289.868,,,,,,,
Caldari Strategic Cruiser,23,30,49.288.892,,,,,,,
Tristan Aurora Universalis SKIN,2,3,49.218.923,,,,,,,
Magus Spirit SKIN,3,3,49.200.343,,,,,,,
Vigil,66,209,49.150.019,,,,,,,
Capital Hybrid Discharge Elutriation II,3,3,49.080.000,,,,,,,
Compact EM Shield Hardener,474,1.485,49.014.752,,,,,,,
Capital Murky Compact Remote Shield Booster Blueprint,1,1,49.000.000,,,,,,,
Capital Hull Repairer II,1,1,49.000.000,,,,,,,
A Handful of Tiny Stars,1,1,48.990.000,,,,,,,
Men's 'Mirelle' Pants (Upwell),3,5,48.972.284,,,,,,,
Ferox Glacial Drift SKIN,2,2,48.964.730,,,,,,,
Chimera Wiyrkomi SKIN,2,3,48.941.568,,,,,,,
Bantam Blueprint,13,16,48.921.241,,,,,,,
Small Dynamic Fuel Valve II,6,9,48.828.580,,,,,,,
Medium Tracking Diagnostic Subroutines II,3,4,48.825.120,,,,,,,
Eifyr and Co. 'Gunslinger' Small Projectile Turret SP-603,27,32,48.823.646,,,,,,,
"Exotic Dancers, Male",51,2.423,48.763.899,,,,,,,
Prowler Justice SKIN,4,5,48.759.989,,,,,,,
Scorpion Glacial Drift SKIN,2,3,48.751.958,,,,,,,
Capital Crystalline Carbonide Armor Plate Blueprint,3,3,48.750.000,,,,,,,
Medium Hybrid Metastasis Adjuster I,13,23,48.714.419,,,,,,,
Abaddon Aurora Universalis SKIN,1,1,48.682.604,,,,,,,
Silo,4,8,48.629.524,,,,,,,
Vitreous Mercoxit,11,1.402,48.592.963,,,,,,,
Women's Minmatar 'Rebellion' T-Shirt,2,3,48.591.630,,,,,,,
Drone Link Augmentor I Blueprint,14,19,48.547.967,,,,,,,
Rattlesnake Versus Redforce SKIN,2,2,48.541.569,,,,,,,
Vexor Exoplanets Hunter SKIN,4,5,48.509.484,,,,,,,
Fierce Dark Filament,290,1.491,48.505.540,,,,,,,
Men's 'Esquire' Coat,1,1,48.500.500,,,,,,,
Inferno Auto-Targeting Cruise Missile I,118,549.645,48.420.750,,,,,,,
Tairei's Modified Kinetic Coating,1,1,48.420.000,,,,,,,
Scan Pinpointing Array I,253,462,48.400.595,,,,,,,
Standard L,160,2.157,48.360.053,,,,,,,
Men's 'Crimson Harvest' Jacket,18,21,48.338.896,,,,,,,
Women's 'Humanitarian' T-shirt YC 115,2,2,48.336.000,,,,,,,
Muninn Exoplanets Hunter SKIN,3,4,48.305.182,,,,,,,
Domination Thermal Shield Hardener,16,18,48.263.891,,,,,,,
Charon Biosecurity Responders SKIN,5,5,48.224.561,,,,,,,
Zainou 'Gypsy' Signature Analysis SA-702,4,5,48.206.306,,,,,,,
Compressed Luminous Kernite,26,229.085,48.141.419,,,,,,,
Modal Mega Electron Particle Accelerator I,61,146,48.130.483,,,,,,,
Domination Rocket Launcher,5,7,48.114.019,,,,,,,
Dark Blood Small Focused Beam Laser,2,2,48.113.770,,,,,,,
Corpum B-Type EM Energized Membrane,7,8,48.088.575,,,,,,,
Hyperion Federation Navy SKIN,5,6,48.078.739,,,,,,,
Crimson Scythes Firework,423,212.012,48.014.311,,,,,,,
Capital F-RX Compact Capacitor Booster Blueprint,2,2,48.000.000,,,,,,,
Inquisitor Blueprint,11,22,47.988.237,,,,,,,
Coherent Asteroid Mining Crystal Type C I Blueprint,8,9,47.964.706,,,,,,,
Crucifier Navy Issue Purity of the Throne SKIN,1,1,47.951.708,,,,,,,
Small Auxiliary Thrusters I,212,681,47.930.040,,,,,,,
Phoenix Glacial Drift SKIN,3,3,47.912.505,,,,,,,
Domination EM Armor Hardener,11,11,47.904.739,,,,,,,
Epithal Glacial Drift SKIN,3,4,47.898.210,,,,,,,
Dark Blood Dual Heavy Pulse Laser,7,8,47.849.798,,,,,,,
Malediction Hunter's Quiver SKIN,1,2,47.827.437,,,,,,,
Tuvan's Modified Thermal Armor Hardener,1,1,47.800.000,,,,,,,
Avatar Exoplanets Hunter SKIN,1,1,47.796.000,,,,,,,
Vigilant Glacial Drift SKIN,3,3,47.786.065,,,,,,,
Imperial Exploit Log,3,207,47.776.350,,,,,,,
Basic' Explosive Shield Amplifier,6,8,47.722.237,,,,,,,
Megathron Glacial Drift SKIN,4,6,47.706.818,,,,,,,
Dread Guristas 200mm Railgun,7,9,47.670.396,,,,,,,
Reactions,32,51,47.657.612,,,,,,,
Small Blaster Specialization,31,45,47.629.009,,,,,,,
Ares Hunter's Quiver SKIN,2,2,47.605.690,,,,,,,
1200mm Heavy Gallium Cannon,45,87,47.471.886,,,,,,,
Imperial Navy Dual Light Beam Laser,4,7,47.423.637,,,,,,,
Brutix Navy Issue Spirit SKIN,1,1,47.400.000,,,,,,,
Large Audit Log Secure Container Blueprint,3,5,47.358.100,,,,,,,
Cerberus Glacial Drift SKIN,2,3,47.337.695,,,,,,,
Low-grade Amulet Beta,1,1,47.295.000,,,,,,,
Apocalypse Aurora Universalis SKIN,3,5,47.263.751,,,,,,,
Mace' Dual Light Beam Laser I,4,7,47.225.000,,,,,,,
Emergent Combat Intelligence,81,7.271,47.215.664,,,,,,,
Eifyr and Co. 'Rogue' Warp Drive Operation WD-610,3,3,47.193.897,,,,,,,
Wasp EC-900,33,354,47.166.442,,,,,,,
Capital Graviton Pulse Generator Blueprint,4,6,47.142.857,,,,,,,
Electronic Superiority Charge,78,112.065,47.134.080,,,,,,,
Women's 'Semiotique Superluminal' Jacket,7,7,47.090.573,,,,,,,
Enyo Glacial Drift SKIN,3,7,47.064.128,,,,,,,
Dominix Valimor Legacy SKIN,2,2,47.013.281,,,,,,,
Guristas Copper Tag,92,233,46.997.373,,,,,,,
Federation Navy Command Sergeant Major Insignia I,160,1.819,46.959.027,,,,,,,
True Sanshas Microwave L,7,20,46.943.252,,,,,,,
Batch Compressed Hemorphite,2,182,46.929.760,,,,,,,
Dual 150mm Prototype Gauss Gun,93,220,46.900.788,,,,,,,
Compressed Carnotite,2,3.528,46.868.102,,,,,,,
Infiltrator EV-600,16,83,46.859.647,,,,,,,
Pithi C-Type Small Remote Shield Booster,4,9,46.858.970,,,,,,,
Dread Guristas Thermal Shield Amplifier,26,41,46.832.993,,,,,,,
Coercer Order of Tetrimon SKIN,11,13,46.811.110,,,,,,,
Purifier Aurora Universalis SKIN,3,3,46.809.822,,,,,,,
Raven Navy Issue Forward 4-4 SKIN,3,3,46.771.120,,,,,,,
Shadow Serpentis Dual 150mm Railgun,6,13,46.743.583,,,,,,,
1200mm Heavy 'Scout' Artillery I,44,87,46.699.312,,,,,,,
Ferox Exoplanets Hunter SKIN,4,6,46.621.190,,,,,,,
Tetrimon Precision Booster I,172,727,46.600.621,,,,,,,
Large Rocket Fuel Cache Partition I,13,19,46.594.475,,,,,,,
Federation Navy Iridium Charge L,14,46.664,46.578.478,,,,,,,
Mining Laser Field Enhancement Charge Blueprint,2,24,46.495.000,,,,,,,
Ice Harvesting Drone I,92,468,46.471.828,,,,,,,
Medium Ionic Field Projector I,68,172,46.399.398,,,,,,,
Metallofullerene Plating,6,265,46.378.477,,,,,,,
Eifyr and Co. 'Gunslinger' Large Projectile Turret LP-1002,4,6,46.368.048,,,,,,,
Mining Barge,75,91,46.351.576,,,,,,,
Medium Drone Control Range Augmentor I,35,68,46.317.423,,,,,,,
Rocket Specialization,35,45,46.284.589,,,,,,,
Gist B-Type Kinetic Shield Hardener,7,8,46.278.671,,,,,,,
Bestower Purity of the Throne SKIN,1,1,46.250.000,,,,,,,
Erebus Valimor Legacy SKIN,2,2,46.221.582,,,,,,,
Large Clarity Ward Enduring Shield Booster,181,996,46.211.713,,,,,,,
Women's 'Strut' Pants (camo),1,1,46.186.667,,,,,,,
Decayed X-Large Shield Booster Mutaplasmid,68,184,46.150.861,,,,,,,
Large C5-L Compact Shield Booster,192,1.03,46.127.946,,,,,,,
Naga Steel Cardinal SKIN,1,1,46.100.000,,,,,,,
Gallente Shuttle Glacial Drift SKIN,3,3,46.063.866,,,,,,,
Xray L Blueprint,9,17,46.060.849,,,,,,,
Federation Navy Heavy Ion Blaster,3,4,46.038.323,,,,,,,
Caldari Navy Hookbill Glacial Drift SKIN,6,6,45.990.525,,,,,,,
Medium F-RX Compact Capacitor Booster,570,2.07,45.912.108,,,,,,,
Large Projectile Burst Aerator I,11,16,45.909.086,,,,,,,
Khanid Navy Multispectrum Energized Membrane,1,1,45.810.000,,,,,,,
Women's 'Eico Redwire XVI' Facial Augmentation,9,9,45.809.058,,,,,,,
Standup Super-heavy Torpedo Blueprint,4,5,45.802.489,,,,,,,
Sansha Copper Tag,44,139,45.789.819,,,,,,,
Dread Guristas Nova Heavy Assault Missile,2,1.611,45.773.689,,,,,,,
Small Drone Scope Chip II,6,12,45.748.359,,,,,,,
Decayed Large Shield Extender Mutaplasmid,70,166,45.734.600,,,,,,,
Ark Cold Iron SKIN,7,8,45.701.603,,,,,,,
Men's Amarr Devotional Robe,9,12,45.700.057,,,,,,,
Mjolnir Heavy Missile Blueprint,23,40,45.693.146,,,,,,,
Republic Fleet Private Insignia V,58,1.223,45.669.955,,,,,,,
Brutix Valimor Legacy SKIN,2,3,45.607.888,,,,,,,
Berserker SW-900 Blueprint,4,5,45.606.599,,,,,,,
Domination Large AutoCannon Battery,2,4,45.580.661,,,,,,,
Inherent Implants 'Noble' Repair Systems RS-602,4,5,45.580.362,,,,,,,
Complex Ore Processing,30,45,45.541.836,,,,,,,
Hurricane Valklear Glory SKIN,4,4,45.491.156,,,,,,,
Apostle Cold Iron SKIN,10,11,45.430.417,,,,,,,
Prospect Sansha Industrial Livery SKIN,2,2,45.410.852,,,,,,,
Serpentis Crystal Tag,37,148,45.366.658,,,,,,,
Guristas Mjolnir Torpedo,27,93.865,45.333.509,,,,,,,
Women's 'Function' T-shirt (white),3,3,45.293.075,,,,,,,
Inherent Implants 'Squire' Energy Grid Upgrades EU-704,1,1,45.276.400,,,,,,,
Mammoth Nefantar SKIN,1,1,45.200.000,,,,,,,
Fenrir Biosecurity Responders SKIN,5,5,45.159.901,,,,,,,
Rapier Justice SKIN,3,3,45.078.328,,,,,,,
Crucifier Ironblood SKIN,36,53,45.011.459,,,,,,,
Acolyte EV-300,20,382,45.007.722,,,,,,,
Selynne's Modified EM Coating,1,1,45.000.000,,,,,,,
Syndicate Mobile Medium Warp Disruptor,1,1,45.000.000,,,,,,,
Dark Blood Xray S,6,9,44.994.187,,,,,,,
True Sansha Crystal Tag,15,80,44.985.149,,,,,,,
Breacher Blueprint,14,16,44.954.414,,,,,,,
Hyperion Valimor Legacy SKIN,3,3,44.941.141,,,,,,,
Improved Blue Pill Booster Reaction Formula,4,6,44.877.704,,,,,,,
Medium Egress Port Maximizer I,16,32,44.860.094,,,,,,,
Ultraviolet L Blueprint,9,23,44.851.694,,,,,,,
Crucifier Blueprint,13,19,44.822.003,,,,,,,
Limited Electron Blaster Cannon I,69,191,44.726.650,,,,,,,
